time:2025-06-03 17:05:25, type:DOWN, key:inside
time:2025-06-03 17:08:08, type:PICK, key:inside, e:2
time:2025-06-03 17:08:09, type:TEST, key:inside, c:100, e:2
time:2025-06-03 17:08:09, type:SIZE, key:inside, e:2, att:1, lines:9
time:2025-06-03 17:08:13, type:BACK, key:inside, e:2, att:1, lines:9
time:2025-06-03 17:08:23, type:SELF, key:inside, c:100, a:6, s:5, clear:5, fun:5, easy:5, e:2, att:1, lines:9
