time:2025-06-08 20:29:42, type:DOWN, key:blackjack
time:2025-06-08 20:34:25, type:PICK, key:blackjack, e:4
time:2025-06-08 20:34:26, type:BACK, key:blackjack, e:4
time:2025-06-08 20:54:22, type:PICK, key:blackjack, e:24
time:2025-06-08 20:54:27, type:TEST, key:blackjack, c:100, e:24
time:2025-06-08 20:54:27, type:SIZE, key:blackjack, e:24, att:1, lines:20
time:2025-06-08 20:54:33, type:BACK, key:blackjack, e:24, att:1, lines:20
time:2025-06-08 20:54:54, type:SELF, key:blackjack, c:100, a:6, s:5, clear:5, fun:5, easy:4, e:25, att:1, lines:20
