2025-06-08_09-17-00,000%,Main.hs:2025-06-08_09-17-00
2025-06-08_09-17-17,000%,Main.hs:2025-06-08_09-17-17
2025-06-08_09-17-24,100%,Main.hs:2025-06-08_09-17-24
